Number,Date,User,Tweet,Location
67,2023-03-13 04:10:49+00:00,Abdo_Milad05,"Turkey Destroyed by massive Earthquake | India sends Help to Turkey as PM Modi offers support
 #Russia #Turkey #earthquake #Syria #United_State
 https://t.co/XV45ElBGSP",libya
68,2023-03-13 02:15:11+00:00,Abdo_Milad05,"Turkey quake: Voices call from under rubble as rescuers race to help
 #Russia #Turkey #earthquake #Syria #United_State
 https://t.co/mZC1tDrowI",libya
69,2023-03-13 01:50:37+00:00,KaftVolter,"#deprem #diyarbakir #sanliurfa #hatay #kahramanmaras #Gaziantep #Osmaniye #adana #ADIYAMAN #Malatya 

#HelpTurkey #earthquake #Erdbeben #землетрясение 
Menschen sterben, Hilfe ist nicht genug
people are dying help is not enough #btc #coin",Anıttepe
70,2023-03-13 00:10:01+00:00,NBCDFWCommunity,How to Help the Red Cross With Earthquake Relief Efforts in Turkey and Syria: https://t.co/mJZEyNBtON #redcross #earthquake #syria #turkey @RedCross @NBCDFW https://t.co/lNuHg6ZGhd,Dallas/Fort Worth 
71,2023-03-12 22:30:01+00:00,Abdo_Milad05,"UN: Turkey-Syria quake survivors still need help
 #Russia #Turkey #earthquake #Syria #United_State
 https://t.co/h5iB0msVLT",libya
72,2023-03-12 22:08:46+00:00,Abdo_Milad05,"Trapped people in Turkey earthquake film themselves in plea for help
 #Russia #Turkey #earthquake #Syria #United_State
 https://t.co/0LQa4UWpLo",libya
73,2023-03-12 20:51:41+00:00,Benefit_Mankind,"Help us build a new village for the #earthquake survivors, each home costs £2,000 and is eligible for #Zakaat. https://t.co/Y69hxNOcGX #Ramadhan #Zakat #Charity https://t.co/982lrlk1FD",UK
74,2023-03-12 19:55:06+00:00,LastQuake,"Take action and help us build an #earthquake-resilient society💟We're a not for profit NGO offering free and ad-free services. If you can, consider a donation to https://t.co/6Cc7sj17fn Thank you🙏 https://t.co/1sXw5iERxU","based in Paris, works globally"
75,2023-03-12 19:48:06+00:00,gbibuildingco,"PLEASE don't forget these people!

Please share with your friends. 

Turkey and Syria earthquake victims still need OUR help!

Please contribute whatever you can.

Thank you!

https://t.co/CDUCZWVi1L

#Turkey #earthquakerelief 
#Syria #earthquake",USA 🇺🇲 - Worldwide 🌍
76,2023-03-12 19:47:06+00:00,JosephAlsousou,"Desperation and resilience!  

This man in Easter #Aleppo  reopened his shop, which is under his #earthquake #syriaearthquake destroyed home. “I have no option” he told me. Help here    https://t.co/ApWnZZ9Pp3 https://t.co/8UIjohMA2x","Oxford, UK"
77,2023-03-12 16:41:57+00:00,LuluWalcott1,#Syria #Earthquake #Help #Donations,"Los Angeles, CA"
78,2023-03-12 11:35:25+00:00,TabibianMDPhD,"@duyguomuzl @Meghesik @melina_power @YacoubianAline @peaceforarmenia @mekquirik @galgoulaa @AMinalyan @historyarmenia @ARAMAC_CA @usembarmenia @UNArmenia @rita_minassian @PBalian11 @dsderian @PetrosyanTeresa @ArtinEsq @UzayBulut14 @TekTurkiyeIcin @tugceinanc @fakircoin @yigidimhelekalk @ekumeniklik @serdarkilic9 @aniboghoss @Zulaila82153837 The #earthquake alone seems to have caused horrific damage &amp; loss of life. 🇹🇷 could use help &amp; prayers from within + outside the country, but perhaps I, international media, &amp; my friends &amp; family living in the region are all mistaken.
Maşallah beynini seviyorum.
Please 🤫
🙏🏼","Լեռնային Աշխարհ, CA"
79,2023-03-12 10:11:37+00:00,Abdo_Milad05,"Turkey Destroyed by massive Earthquake | India sends Help to Turkey as PM Modi offers support
 #Russia #Turkey #earthquake #Syria #United_State
 https://t.co/wungfc4oJd",libya
80,2023-03-12 06:33:26+00:00,Lotteruppert,"In this kitchen in Kahramanmaras,  @Kizilay cooks 75,000 meals per day for families affected by the #earthquake.

Millions of people in Türkiye have lost their homes, jobs and community. Long-term support is needed to help people restore their lives in the months and years ahead. https://t.co/euyJguQYdN","Gaziantep, Turkiye"
81,2023-03-12 04:19:55+00:00,SichuanDaily,"Emotional healing plays a key role in #earthquake recovery. The psychological harm caused by the earthquake is often less visible than the physical one, particularly to #children.
Here's what to do and how we can offer help:
#psychology #kids #health https://t.co/xcwD3ukMIv","Chengdu, Sichuan, China"
82,2023-03-12 04:09:30+00:00,Abdo_Milad05,"Trapped people in Turkey earthquake film themselves in plea for help
 #Russia #Turkey #earthquake #Syria #United_State
 https://t.co/F3Gn3C8GVm",libya
83,2023-03-12 00:57:51+00:00,Puddince_Macka,Information to Help when disaster prevention and disaster. https://t.co/71cDlGZQKy #foreigner #japan #earthquake #multilingual,
84,2023-03-11 19:48:49+00:00,gbibuildingco,"PLEASE don't forget these people!

Please share with your friends. 

Turkey and Syria earthquake victims still need OUR help!

Please contribute whatever you can.

Thank you!

https://t.co/CDUCZWUKcd

#Turkey #earthquakerelief 
#Syria #earthquake",USA 🇺🇲 - Worldwide 🌍
85,2023-03-11 19:47:51+00:00,LastQuake,"Take action and help us build an #earthquake-resilient society💟We're a not for profit NGO offering free and ad-free services. If you can, consider a donation to https://t.co/6Cc7sj0zpP Thank you🙏 https://t.co/ZZOKr9At8o","based in Paris, works globally"
86,2023-03-11 16:24:26+00:00,XmanNYC71,Today marks 12 yrs since #Japan’s #Earthquake &amp; #Tsunami. Radioactive waste water is still accumulating from the disabled #Tepco #Nuclear power plant in #Fukushima. THIS YEAR Tepco will dump MILLIONS of gallons of the #radioactive water into the ocean! Help @mpnuclearfree stop it https://t.co/idESlGvgMR,
87,2023-03-11 14:29:24+00:00,LastQuake,"Help us keep doing what we've always done: inform and reassure citizens living in #earthquake-prone regions and and stand side-by-side with affected population in case of an #earthquake🙏 If you can, consider a donation to https://t.co/6Cc7sj0zpP Thank you💟 https://t.co/40Uy1EdFKM","based in Paris, works globally"
88,2023-03-11 13:45:00+00:00,HI_Canada,"Last month's #earthquake in #Syria could have long-term effects on children's #mentalhealth. #Psychologicalsupport is needed now more than ever. You can help a child dealing with trauma from the disaster: https://t.co/phNR6ErWZg
© K.W Dalati / HI https://t.co/4HfEykDQta","Montréal, Canada"
